YEAR,DOY,T2M_MAX,T2M_MIN,RH2M
2024,15,16.94,9.83,92.0
2024,16,16.72,10.67,93.31
2024,17,17.13,11.12,93.56
2024,18,17.38,10.75,94.44
2024,19,17.29,11.62,93.88
2024,20,16.94,10.09,93.06
2024,21,18.24,10.64,93.62
2024,22,17.47,10.66,93.0
2024,23,18.02,10.19,93.06
2024,24,18.27,8.81,88.12
2024,25,19.1,10.4,82.69
2024,26,19.65,10.2,86.06
2024,27,20.18,11.04,86.56
2024,28,19.69,11.71,90.0
2024,29,18.8,12.67,92.94
2024,30,17.47,12.68,94.38
2024,31,18.81,12.87,92.75
2024,32,17.94,13.41,94.62
2024,33,16.46,13.01,94.94
2024,34,18.4,12.51,92.25
2024,35,17.85,11.9,93.94
2024,36,16.16,11.15,94.5
2024,37,16.81,9.81,92.94
2024,38,17.0,10.7,94.06
2024,39,18.39,9.81,91.94
2024,40,15.97,10.48,93.06
2024,41,17.83,10.23,92.5
2024,42,18.31,10.94,91.69
2024,43,18.83,12.09,93.06
2024,44,17.38,11.55,93.75
2024,45,15.98,11.28,95.31
2024,46,16.33,12.4,95.0
2024,47,16.72,11.94,95.06
2024,48,17.56,11.47,94.06
2024,49,17.98,10.68,92.44
2024,50,19.8,12.0,88.94
2024,51,17.43,12.51,88.69
2024,52,20.52,11.54,84.31
2024,53,20.69,10.9,81.44
2024,54,19.9,10.79,84.38
2024,55,19.24,11.83,87.44
2024,56,16.79,12.77,94.25
2024,57,16.95,11.78,94.19
2024,58,16.4,11.7,94.56
2024,59,18.08,10.81,92.62
2024,60,17.05,11.94,95.31
2024,61,18.12,11.41,91.25
2024,62,17.4,11.4,93.75
2024,63,17.12,11.81,93.75
2024,64,18.48,11.51,91.94
2024,65,16.95,11.98,94.0
2024,66,18.59,10.72,93.44
2024,67,-999.0,-999.0,-999.0
2024,68,-999.0,-999.0,-999.0
